Month,Ashirbad Wheat Flour,Fair and Lovely Face Cream,Fortune Cooking Oil,Maggi Sauce (Ketchup),Potatoes,Sriram Papad,Ashirbad Wheat Flour,Fair and Lovely Face Cream,Fortune Cooking Oil,Maggi Sauce (Ketchup),Potatoes,Sriram Papad,Ashirbad Wheat Flour,Fair and Lovely Face Cream,Fortune Cooking Oil,Maggi Sauce (Ketchup),Potatoes,Sriram Papad,Ashirbad Wheat Flour,Fair and Lovely Face Cream,Fortune Cooking Oil,Maggi Sauce (Ketchup),Potatoes,Sriram Papad,Ashirbad Wheat Flour,Fair and Lovely Face Cream,Fortune Cooking Oil,Maggi Sauce (Ketchup),Potatoes,Sriram Papad,Ashirbad Wheat Flour,Fair and Lovely Face Cream,Fortune Cooking Oil,Maggi Sauce (Ketchup),Potatoes,Sriram Papad,Ashirbad Wheat Flour,Fair and Lovely Face Cream,Fortune Cooking Oil,Maggi Sauce (Ketchup),Potatoes,Sriram Papad
Aug-21,38,115,180,150,30,50,870,30,300,15,1000,48,950,40,400,40,1200,150,34200,4280,68800,5880,32400,6300,33060,3450,54000,2250,30000,2400,-,-,-,-,-,-,-1140,-830,-14800,-3630,-2400,-3900
Sep-21,38,115,175,150,30,50,910,33,310,22,1100,68,950,40,400,0,1200,0,34200,4280,66800,0,32400,0,34580,3795,54250,3300,33000,3400,38,115,25,150,30,50,380,-485,-12550,3300,600,3400
Oct-21,38,115,170,150,30,50,900,37,285,17,960,55,950,40,400,40,1200,150,34200,4280,64800,5880,32400,6300,34200,4255,48450,2550,28800,2750,38,115,232,150,30,50,0,-25,-16350,-3330,-3600,-3550
Nov-21,38,115,165,150,30,50,895,44,286,19,990,50,950,40,0,0,1200,0,34200,4280,0,0,32400,0,34010,5060,47190,2850,29700,2500,38,115,-1260,150,30,50,-190,780,47190,2850,-2700,2500
Dec-21,38,115,160,150,30,50,900,50,290,18,1110,63,950,40,400,40,1200,0,34200,4280,60800,5880,32400,0,34200,5750,46400,2700,33300,3150,38,115,-197.5,150,30,50,0,1470,-14400,-3180,900,3150
Jan-22,38,115,155,150,30,50,915,45,330,23,1120,55,950,40,400,0,1200,150,34200,4280,58800,0,32400,6300,34770,5175,51150,3450,33600,2750,38,115,118.75,150,30,50,570,895,-7650,3450,1200,-3550
Feb-22,38,115,150,150,30,50,850,41,305,19,980,71,950,40,400,40,1200,0,34200,4280,56800,5880,32400,0,32300,4715,45750,2850,29400,3550,38,115,216,150,30,50,-1900,435,-11050,-3030,-3000,3550
Mar-22,38,115,170,150,30,50,890,38,300,25,970,75,950,40,400,0,0,150,34200,4280,64800,0,0,6300,33820,4370,51000,3750,29100,3750,38,115,-1050,150,30,50,-380,90,-13800,3750,29100,-2550
Apr-22,38,115,175,150,30,50,920,36,295,14,1180,49,950,40,0,40,1200,0,34200,4280,0,5880,32400,0,34960,4140,51625,2100,35400,2450,38,115,-125,150,30,50,760,-140,51625,-3780,3000,2450
May-22,38,115,190,150,30,50,905,35,315,18,1000,66,950,40,400,0,1200,0,34200,4280,72800,0,32400,0,34390,4025,59850,2700,30000,3300,38,115,411.25,150,30,50,190,-255,-12950,2700,-2400,3300
Jun-22,38,115,180,150,30,50,890,31,280,24,980,63,950,40,400,40,1200,150,34200,4280,68800,5880,32400,6300,33820,3565,50400,3600,29400,3150,38,115,270,150,30,50,-380,-715,-18400,-2280,-3000,-3150
Jul-22,38,115,180,150,30,50,910,29,295,21,1050,51,950,40,0,0,1200,0,34200,4280,0,0,32400,0,34580,3335,53100,3150,31500,2550,38,115,180,150,30,50,380,-945,53100,3150,-900,2550
